time_min,Pb2+_conc_mg_L,Pb2+_adsorbed_mg_g,Pb2+_saturation_pct,E_coli_cfu_ml,E_coli_log_reduction
0.0,50.0,0.0,0.0,100000.0,0.0
1.0,0.0,250.0,100.0,73564.22544596414,0.13333333333333333
2.0,0.0,250.0,100.0,54116.95265464637,0.26666666666666666
3.0,0.0,250.0,100.0,39810.71705534973,0.4
4.0,0.0,250.0,100.0,29286.445646252367,0.5333333333333333
5.0,0.0,250.0,100.0,21544.34690031884,0.6666666666666666
6.0,0.0,250.0,100.0,15848.931924611132,0.8
7.0,0.0,250.0,100.0,11659.144011798317,0.9333333333333333
8.0,0.0,250.0,100.0,8576.958985908941,1.0666666666666667
9.0,0.0,250.0,100.0,6309.573444801933,1.2
10.0,0.0,250.0,100.0,4641.58883361278,1.3333333333333333
11.0,0.0,250.0,100.0,3414.5488738336026,1.4666666666666666
12.0,0.0,250.0,100.0,2511.8864315095793,1.6
13.0,0.0,250.0,100.0,1847.8497974222907,1.7333333333333334
14.0,0.0,250.0,100.0,1359.3563908785254,1.8666666666666667
15.0,0.0,250.0,100.0,1000.0,2.0
16.0,0.0,250.0,100.0,735.6422544596413,2.1333333333333333
17.0,0.0,250.0,100.0,541.1695265464638,2.2666666666666666
18.0,0.0,250.0,100.0,398.1071705534973,2.4
19.0,0.0,250.0,100.0,292.8644564625237,2.533333333333333
20.0,0.0,250.0,100.0,215.44346900318845,2.6666666666666665
21.0,0.0,250.0,100.0,158.48931924611142,2.8
22.0,0.0,250.0,100.0,116.59144011798323,2.933333333333333
23.0,0.0,250.0,100.0,85.76958985908936,3.066666666666667
24.0,0.0,250.0,100.0,63.0957344480193,3.2
25.0,0.0,250.0,100.0,46.41588833612777,3.3333333333333335
26.0,0.0,250.0,100.0,34.145488738336006,3.466666666666667
27.0,0.0,250.0,100.0,25.118864315095795,3.6
28.0,0.0,250.0,100.0,18.478497974222908,3.7333333333333334
29.0,0.0,250.0,100.0,13.593563908785255,3.8666666666666667
30.0,0.0,250.0,100.0,10.0,4.0
31.0,0.0,250.0,100.0,7.356422544596406,4.133333333333334
32.0,0.0,250.0,100.0,5.411695265464637,4.266666666666667
33.0,0.0,250.0,100.0,3.981071705534969,4.4
34.0,0.0,250.0,100.0,2.9286445646252375,4.533333333333333
35.0,0.0,250.0,100.0,2.1544346900318825,4.666666666666667
36.0,0.0,250.0,100.0,1.584893192461114,4.8
37.0,0.0,250.0,100.0,1.165914401179831,4.933333333333334
38.0,0.0,250.0,100.0,0.8576958985908947,5.066666666666666
39.0,0.0,250.0,100.0,0.630957344480193,5.2
40.0,0.0,250.0,100.0,0.4641588833612782,5.333333333333333
41.0,0.0,250.0,100.0,0.3414548873833601,5.466666666666667
42.0,0.0,250.0,100.0,0.25118864315095824,5.6
43.0,0.0,250.0,100.0,0.18478497974222907,5.733333333333333
44.0,0.0,250.0,100.0,0.1359356390878527,5.866666666666666
45.0,0.0,250.0,100.0,0.1,6.0
46.0,0.0,250.0,100.0,0.1,6.0
47.0,0.0,250.0,100.0,0.1,6.0
48.0,0.0,250.0,100.0,0.1,6.0
49.0,0.0,250.0,100.0,0.1,6.0
50.0,0.0,250.0,100.0,0.1,6.0
51.0,0.0,250.0,100.0,0.1,6.0
52.0,0.0,250.0,100.0,0.1,6.0
53.0,0.0,250.0,100.0,0.1,6.0
54.0,0.0,250.0,100.0,0.1,6.0
55.0,0.0,250.0,100.0,0.1,6.0
56.0,0.0,250.0,100.0,0.1,6.0
57.0,0.0,250.0,100.0,0.1,6.0
58.0,0.0,250.0,100.0,0.1,6.0
59.0,0.0,250.0,100.0,0.1,6.0
60.0,0.0,250.0,100.0,0.1,6.0
61.0,0.0,250.0,100.0,0.1,6.0
62.0,0.0,250.0,100.0,0.1,6.0
63.0,0.0,250.0,100.0,0.1,6.0
64.0,0.0,250.0,100.0,0.1,6.0
65.0,0.0,250.0,100.0,0.1,6.0
66.0,0.0,250.0,100.0,0.1,6.0
67.0,0.0,250.0,100.0,0.1,6.0
68.0,0.0,250.0,100.0,0.1,6.0
69.0,0.0,250.0,100.0,0.1,6.0
70.0,0.0,250.0,100.0,0.1,6.0
71.0,0.0,250.0,100.0,0.1,6.0
72.0,0.0,250.0,100.0,0.1,6.0
73.0,0.0,250.0,100.0,0.1,6.0
74.0,0.0,250.0,100.0,0.1,6.0
75.0,0.0,250.0,100.0,0.1,6.0
76.0,0.0,250.0,100.0,0.1,6.0
77.0,0.0,250.0,100.0,0.1,6.0
78.0,0.0,250.0,100.0,0.1,6.0
79.0,0.0,250.0,100.0,0.1,6.0
80.0,0.0,250.0,100.0,0.1,6.0
81.0,0.0,250.0,100.0,0.1,6.0
82.0,0.0,250.0,100.0,0.1,6.0
83.0,0.0,250.0,100.0,0.1,6.0
84.0,0.0,250.0,100.0,0.1,6.0
85.0,0.0,250.0,100.0,0.1,6.0
86.0,0.0,250.0,100.0,0.1,6.0
87.0,0.0,250.0,100.0,0.1,6.0
88.0,0.0,250.0,100.0,0.1,6.0
89.0,0.0,250.0,100.0,0.1,6.0
90.0,0.0,250.0,100.0,0.1,6.0
